"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "Dickens_Bleak" "Dickens_David" "Dickens_Hard" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill" "Fielding_Joseph" "Fielding_Tom" "Richardson_Clarissa" "Richardson_Pamela" "Sterne_Sentimental" "Sterne_Tristram" "Thackeray_Barry" "Thackeray_Pendennis" "Thackeray_Vanity" "Trollope_Barchester" "Trollope_Phineas" "Trollope_Prime"
"the" 3.6285957594215 3.49474080966796 3.21288115920555 3.5281847367306 3.3999801219189 4.14651805579778 4.26497075893353 4.25339412515185 4.13509638890347 3.76674958426673 4.0622307233422 3.82834027085654 4.50561631356217 3.88999966007312 4.07257142056782 5.08561743060787 4.76005772532556 3.24160256515393 2.78807395230482 5.73881499395405 5.41994750656168 5.62844823589411 5.20928727715415 5.62064348758585 5.04159816669158 3.88065515316996 4.33033281145313
"and" 3.9490206832845 3.95705485341406 3.02334339673896 2.92032658116455 2.89143254704479 3.50176250799338 3.26432589891263 3.2398582879682 3.51883720095132 3.38331294751453 3.17781965210639 3.97658271844823 3.05026634295638 2.6622455570011 2.90911297965815 2.79524251028568 2.4687273619184 2.81086500139411 3.89533181705587 3.12938331318017 3.08608923884514 3.80561608481308 4.33517770088343 4.1617034665879 2.8396353310417 2.63941481173523 2.42795796723611
"to" 3.44384625377077 3.33926194654825 3.23634185944571 3.39047960497368 3.40909090909091 2.76557850955771 2.60834760178782 2.43319761915654 2.82495863522483 2.87426301829226 2.81041976384141 2.96149884002379 2.96051302993722 3.14865002673061 2.88110033661859 3.05310888335168 3.27499957219373 3.97842826917715 3.48751322989619 2.76420798065296 2.33543307086614 2.81886040150216 2.51813749952017 2.60483723379321 3.2725551736163 3.34206021925833 3.55931556163452
"of" 2.3136988871729 2.20026148717888 2.65044174029005 2.94069716278539 2.95852107076597 2.30632230378556 2.96079695803963 2.46267860138154 2.35288918107413 2.39050066654756 2.44301987557643 1.8626621663498 2.01226927788972 2.7463002048832 2.36006517608281 2.81842151011184 2.98608774021322 2.41159731675715 2.00981827189407 3.05199516324063 3.34068241469816 3.30335203301034 2.70595589969126 2.74963959943363 2.68420266028994 2.46300437093385 2.36581835097427
"i" 3.33126452376485 3.75563905346353 1.97069882017373 1.68261004188192 1.65981977206467 3.83735248574403 3.31880545240266 3.00706018695009 2.62027550735727 3.70710388521639 2.1097086367381 3.45899044380606 1.62812509816769 1.46539389800339 1.57897931266312 1.57399895694501 1.842704191931 3.0459152711945 3.98338099849123 3.21402660217654 1.49658792650919 2.69136260373684 1.19271538794782 0.823543387733217 0.983410551487072 1.98059110606725 1.91695508937343
"a" 1.88790901086847 1.64430676450842 1.93242083557136 1.59297948275019 1.73270606944076 2.36339902441087 2.49827666718552 2.39100931700697 2.13190874612939 2.18957437158996 2.14758491387882 1.94809001750433 2.22408709661495 2.27441988386862 2.26622282190028 2.2700932954743 1.94765932931386 1.78835019927507 1.70265949062085 2.40628778718259 2.18845144356955 2.40777659294976 2.27328811068399 2.17942008418444 1.70079210880287 1.84200965575619 1.83954093056679
"in" 1.32933042737757 1.19259355233866 1.35084242435468 1.53186773788765 1.63911343758283 1.46179823379259 1.69442529630206 1.57977401302246 1.73552509094726 1.71625688880338 1.69212268126166 1.2428914815032 1.41047331409621 1.63721148705651 1.45665743805704 1.66671495624964 1.62480820019052 1.47734168703154 1.3860427410093 1.88391777509069 2 1.91323968040552 1.67336597991851 1.76363502098189 1.53589398694764 1.50978871946994 1.41358948278316
"that" 1.14746763275262 1.14783448568299 1.1224092904373 1.28497628864299 1.14630267691492 0.880461264460757 0.895021235907585 0.988629490131495 1.39632012330708 1.47904841746492 1.2944217712841 1.04690994061927 1.2062845269776 1.60445489633775 1.42257538902558 1.11114330416643 1.16477386160752 1.61818733496252 1.27322269011642 0.841596130592503 1.13070866141732 1.08257221011637 1.1864090767012 1.07494084293599 1.79494843820057 2.22629227202415 2.16447210833816
"he" 1.00746214800167 1.35455070142169 1.11808758249832 1.0902335283477 0.921846011131725 1.00782690955982 0.68377398768095 1.12637683811383 1.28942083790256 0.992537415994393 1.3152537237115 1.7906347624352 1.325207666728 1.54666732591881 1.15178650630985 1.74856579938576 1.43828466799382 0.823957291171213 1.0757313036233 0.967351874244256 1.03674540682415 0.866985024804117 1.59275487093997 1.25409765009199 1.95137747222637 2.25588128438786 2.19293830126258
"it" 1.20231514224269 1.39518722246434 1.56137133966772 1.24830924172547 1.45524118738404 1.27471342729853 1.06068355162216 1.13349293727159 1.51067749839099 1.38284567706114 1.35407690778073 1.16500138192112 1.28257484304389 1.08962017805988 1.26477083323607 0.916294836877789 0.956004403552503 1.17156107001689 1.12752493976175 1.91051995163241 1.66089238845144 0.763441358740167 0.877125638171279 0.771209051592666 1.17919593483784 1.28730931005165 1.54446454049663
