Source,Target,Weight,Type
0,1,60,undirected
0,2,5,undirected
0,3,4,undirected
0,4,4,undirected
0,5,19,undirected
0,6,1,undirected
0,7,4,undirected
0,11,3,undirected
0,13,3,undirected
0,18,6,undirected
1,0,60,undirected
1,3,1,undirected
1,4,3,undirected
1,5,16,undirected
1,11,30,undirected
1,17,13,undirected
1,18,20,undirected
2,0,5,undirected
2,3,50,undirected
2,4,40,undirected
2,13,4,undirected
2,24,1,undirected
3,0,4,undirected
3,1,1,undirected
3,2,50,undirected
3,4,60,undirected
3,16,10,undirected
3,17,2,undirected
3,24,5,undirected
4,0,4,undirected
4,1,3,undirected
4,2,40,undirected
4,3,60,undirected
4,16,6,undirected
4,24,2,undirected
5,0,19,undirected
5,1,16,undirected
5,6,46,undirected
5,7,47,undirected
5,8,2,undirected
5,9,1,undirected
5,11,40,undirected
6,0,1,undirected
6,5,46,undirected
6,7,57,undirected
6,9,4,undirected
6,11,13,undirected
6,15,1,undirected
6,19,9,undirected
6,20,1,undirected
6,21,1,undirected
7,0,4,undirected
7,5,47,undirected
7,6,57,undirected
7,9,6,undirected
7,11,5,undirected
7,19,1,undirected
7,23,1,undirected
8,5,2,undirected
8,9,60,undirected
8,10,50,undirected
8,13,2,undirected
8,14,5,undirected
8,19,8,undirected
8,20,7,undirected
8,21,2,undirected
8,22,13,undirected
8,23,8,undirected
9,5,1,undirected
9,6,4,undirected
9,7,6,undirected
9,8,60,undirected
9,10,40,undirected
9,11,6,undirected
9,12,8,undirected
9,14,17,undirected
9,19,7,undirected
9,23,1,undirected
10,8,50,undirected
10,9,40,undirected
10,12,2,undirected
10,13,1,undirected
10,14,12,undirected
10,20,1,undirected
11,0,3,undirected
11,1,30,undirected
11,5,40,undirected
11,6,13,undirected
11,7,5,undirected
11,9,6,undirected
12,9,8,undirected
12,10,2,undirected
12,13,35,undirected
12,14,60,undirected
13,0,3,undirected
13,2,4,undirected
13,8,2,undirected
13,10,1,undirected
13,12,35,undirected
13,14,50,undirected
13,15,3,undirected
13,16,1,undirected
13,24,23,undirected
13,25,10,undirected
13,26,10,undirected
14,8,5,undirected
14,9,17,undirected
14,10,12,undirected
14,12,60,undirected
14,13,50,undirected
15,6,1,undirected
15,13,3,undirected
15,16,60,undirected
15,20,11,undirected
15,21,25,undirected
15,24,8,undirected
16,3,10,undirected
16,4,6,undirected
16,13,1,undirected
16,15,60,undirected
16,17,24,undirected
16,18,4,undirected
16,24,5,undirected
17,1,13,undirected
17,3,2,undirected
17,16,24,undirected
17,18,60,undirected
18,0,6,undirected
18,1,20,undirected
18,16,4,undirected
18,17,60,undirected
19,6,9,undirected
19,7,1,undirected
19,8,8,undirected
19,9,7,undirected
19,20,60,undirected
19,21,5,undirected
20,6,1,undirected
20,8,7,undirected
20,10,1,undirected
20,15,11,undirected
20,19,60,undirected
20,21,10,undirected
21,6,1,undirected
21,8,2,undirected
21,15,25,undirected
21,19,5,undirected
21,20,10,undirected
21,22,40,undirected
21,23,50,undirected
22,8,13,undirected
22,21,40,undirected
22,23,60,undirected
23,7,1,undirected
23,8,8,undirected
23,9,1,undirected
23,21,50,undirected
23,22,60,undirected
24,2,1,undirected
24,3,5,undirected
24,4,2,undirected
24,13,23,undirected
24,15,8,undirected
24,16,5,undirected
24,25,50,undirected
24,26,39,undirected
25,13,10,undirected
25,24,50,undirected
25,26,60,undirected
26,13,10,undirected
26,24,39,undirected
26,25,60,undirected
